Date,close,high,low,open,volume,RSI,MACD,MACD_SIGNAL,SMA20,EMA20,BB_UPPER,BB_LOWER,ATR,CCI,Target
2015-01-20,211.31500244140625,215.24099731445312,205.1529998779297,212.9069976806641,24051100,33.934676698260404,-13.451146849097597,-11.060349615213918,253.46234817504882,234.3494443406955,336.91433474292955,170.01036160716808,22.408358982631142,-81.75219506112902,1
2015-01-21,226.89700317382807,227.7879943847656,211.2120056152344,211.3780059814453,29924600,40.59173856021856,-12.075930609073566,-11.26535667032532,249.09474868774413,233.54084299735953,328.18070414483117,170.0087932306571,22.472716195242747,-53.719424575861964,1
2015-01-22,233.406005859375,237.0189971923828,226.4340057373047,227.32200622558597,33544600,43.167931609603905,-10.430734688117866,-11.09719143344913,245.01344833374023,233.52640446491696,317.9583709565186,172.06852571096184,22.360071454729354,-28.569942020208778,0
2015-01-23,232.8789978027344,234.84500122070312,225.1959991455078,233.5169982910156,24621700,43.00532384831361,-9.066953332355524,-10.688732698430549,242.60329818725586,233.45789075517,313.69211763697604,171.51447873753565,22.29349844796317,-26.499482317917966,1
2015-01-24,247.8470001220703,248.2100067138672,230.02200317382807,232.6999969482422,24782500,48.89358080984222,-6.871711475085618,-9.921706273882803,241.78589782714843,234.96470357138466,312.20214569896274,171.36964995533413,22.418213980538507,-0.28280861846630384,1
2015-01-25,253.71800231933597,255.07400512695312,243.88999938964844,247.3520050048828,33582700,51.03060900147379,-4.675745490473162,-8.868535349943318,240.74809799194335,236.91008589578473,309.73314659093114,171.76304939295557,22.174285888671875,22.676742041839184,1
2015-01-26,273.4729919433594,309.3840026855469,254.07899475097656,254.07899475097656,106794000,57.474310436528945,-1.5243745078060726,-7.3952504511313135,240.11229782104493,240.67099836968126,307.5510171566447,172.67357848544515,25.65021514892578,88.38360795388022,0
2015-01-27,263.4750061035156,275.4800109863281,250.6529998779297,273.1669921875,44399000,53.62817875276514,0.24012250466782348,-5.86447467124279,238.56919784545897,242.99890462305976,302.0817878347567,175.0566078561612,23.968501499720983,58.330948852703244,0
2015-01-28,233.9149932861328,266.5350036621094,227.04600524902344,263.3510131835937,44352200,44.2085562902158,-0.500523380983168,-4.789605313479965,236.09749755859374,242.07789423661097,296.018547623764,176.1764474934235,22.906930106026785,14.084468073765168,0
2015-01-29,233.51300048828125,238.70599365234372,220.7120056152344,233.34800720214844,32213400,44.09512591385668,-1.1015570537562667,-4.050852496921785,233.25274810791015,241.21481549821166,287.44582641048635,179.05966980533393,20.465786525181354,-10.36223122769246,0
