Date,close,high,low,open,volume,RSI,MACD,MACD_SIGNAL,SMA20,EMA20,BB_UPPER,BB_LOWER,ATR,CCI,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_neg,proba_sentiment_neu,proba_sentiment_pos,y_true,is_penalty_day,ohlc_flag_high_low_ok,ml_imputed_mask,sent_missing_or_neutral_mask,y_true_orig,volume_log1p,volume_winsor_p99
2022-12-02,17088.66015625,17088.66015625,16877.880859375,16968.68359375,19539705127,48.49558085989938,-419.8506896324034,-614.8363030721948,16571.196533203125,16963.569169592607,17220.072324083118,15922.32074232313,389.52587890625,143.69701931970073,0.512195,0.489998,0.5197693109512329,0.2024728260869565,0.6171847826086957,0.1803380434782608,0,,,,,,,
2022-12-03,16908.236328125,17116.041015625,16888.140625,17090.09765625,16217776704,46.49480703887577,-376.8340761927284,-567.2358576963015,16598.940087890624,16958.29937516712,17255.997365539824,15941.882810241425,389.5568498883928,111.8459873122722,0.428571,0.485698,0.5197433829307556,0.1122388888888889,0.7170111111111112,0.1707444444444444,1,,,,,,,
2022-12-04,17130.486328125,17157.767578125,16903.439453125,16908.169921875,16824520830,49.27121239528008,-321.10785111956284,-518.0102563809538,16624.554443359375,16974.69813259168,17323.386378775085,15925.722507943665,372.1455078125,121.02555418530947,0.36,0.48238,0.5197693109512329,0.002125,0.9751625,0.0227125,0,,,,,,,
2022-12-05,16974.826171875,17378.15234375,16922.431640625,17128.89453125,22209086834,47.4154301740776,-286.2056889412197,-471.649342893007,16629.065087890624,16974.710326809138,17336.08129668951,15922.048879091735,355.2123325892857,119.23919615244566,0.512195,0.477547,0.5197693109512329,0.0936823529411764,0.7076436974789916,0.1986739495798319,1,,,,,,,
2022-12-06,17089.50390625,17091.86328125,16939.921875,16975.23828125,19889922369,48.94120569064919,-246.45100541612192,-426.6096753976301,16650.068310546874,16985.643048660648,17386.481056154113,15913.655564939638,323.4623325892857,95.00713393632284,0.36,0.474473,0.4880588948726654,0.1834729508196721,0.7186688524590163,0.0978540983606557,0,,,,,,,
2022-12-07,16848.126953125,17109.376953125,16750.55859375,17089.505859375,19675404389,45.920944459760285,-231.7507566880085,-387.6378916557058,16658.098779296874,16972.546277657253,17399.715467944272,15916.482090649475,315.68575613839283,56.61481454065089,0.36,0.469178,0.5112465858459473,0.1563574257425742,0.7513287128712872,0.0923108910891089,1,,,,,,,
2022-12-08,17233.474609375,17267.916015625,16788.783203125,16847.349609375,20496603770,51.10830616423138,-186.852449559854,-347.48080323653545,16684.883642578126,16997.396594963706,17469.956500815886,15899.810784340369,330.64474051339283,90.93605706131072,0.36,0.465921,0.4799965858459473,0.047333734939759,0.6798506024096386,0.2728096385542168,0,,,,,,,
2022-12-09,17133.15234375,17280.546875,17100.8359375,17232.1484375,20328426366,49.76982327144272,-157.5492563376829,-309.49449385676496,16705.963916015626,17010.325713895734,17516.286588255804,15895.641243775446,328.04833984375,94.55760317956162,0.36,0.462903,0.4880588948726654,0.1082542168674698,0.7512590361445783,0.1404819277108433,0,,,,,,,
2022-12-10,17128.724609375,17216.826171875,17120.68359375,17134.220703125,12706781969,49.70794814709453,-133.1486905287129,-274.22533319115456,16747.808544921874,17021.601799179472,17554.512088454016,15941.105001389737,317.01318359375,82.65710344362977,0.0,0.460709,0.4880848228931427,0.0,0.9999333333333332,6.666666666666667e-05,0,,,,,,,
2022-12-11,17104.193359375,17245.634765625,17091.8203125,17129.7109375,14122486832,49.3419414581078,-114.47098295155956,-242.27446314323555,16813.65400390625,17029.467662055238,17495.578675519606,16131.72933229289,316.75844029017856,76.35155543321758,0.18,0.458494,0.4880848228931427,0.0,0.798585,0.2014149999999999,1,,,,,,,
2022-12-12,17206.4375,17212.564453125,16899.39453125,17102.5,19617581341,50.96260914889437,-90.37671100562513,-211.8949127157135,16864.48740234375,17046.321932335693,17500.629942806267,16228.344861881236,308.52748325892856,63.85393600845356,0.09,0.453587,0.4840914130210876,0.120876724137931,0.6646232758620689,0.2144991379310345,1,,,,,,,
2022-12-13,17781.318359375,17930.0859375,17111.763671875,17206.44140625,26634741631,58.92044945117463,-24.61005661344825,-174.43794149526047,16923.01796875,17116.321592053722,17667.099926449406,16178.936011050591,339.6318359375,175.78827044267214,0.36,0.447881,0.4097081303596496,0.0919222222222222,0.7557216049382717,0.1523487654320987,1,,,,,,,
2022-12-14,17815.650390625,18318.53125,17739.513671875,17782.06640625,25534481470,59.344766670549845,29.935718484281097,-133.56320949935215,16983.57724609375,17182.924334774798,17810.981981855235,16156.172510332266,327.70772879464283,232.92959284145616,0.36,0.445213,0.4377731084823608,0.22798,0.6667707692307693,0.1052530769230769,0,,,,,,,
2022-12-15,17364.865234375,17846.744140625,17322.58984375,17813.64453125,20964448341,51.78172826952807,36.369795130831335,-99.57660857331544,17025.72841796875,17200.252039498628,17839.878257241984,16211.578578695511,343.06808035714283,120.26980740487456,0.36,0.442061,0.4932567834854126,0.1677348623853211,0.6706880733944954,0.1615752293577981,0,,,,,,,
2022-12-16,16647.484375,17505.525390625,16584.701171875,17364.546875,24031608960,42.499319026681306,-16.23069536838011,-82.90742593232838,17034.88857421875,17147.60750002257,17826.24414379431,16243.533004643188,393.7855747767857,-34.247186024945954,0.428571,0.439186,0.47997065782547,0.2309811881188118,0.6650950495049505,0.1039188118811881,1,,,,,,,
2022-12-17,16795.091796875,16800.58984375,16614.029296875,16646.982421875,14463581825,44.69608182313758,-45.48198965131087,-75.42233867612488,17052.41181640625,17114.034575913276,17803.216256691143,16301.607376121356,390.8327287946428,-88.78747362608014,0.36,0.442652,0.5036762177944183,0.3486153846153846,0.6510769230769231,0.0003076923076923,0,,,,,,,
2022-12-18,16757.9765625,16815.38671875,16697.8203125,16795.609375,10924354698,44.238426472951325,-70.84211652225349,-74.5062942453506,17079.44453125,17080.124288921535,17736.76155295373,16422.12750954627,381.0640345982143,-100.16078226853492,0.36,0.442113,0.4955879807472229,0.0,0.6780666666666666,0.3219333333333333,0,,,,,,,
2022-12-19,16439.6796875,16807.52734375,16398.13671875,16759.041015625,17221074814,40.416417065567984,-115.295047928008,-82.66404498188209,17079.17939453125,17019.12956497663,17737.57735440982,16420.78143465268,377.7547433035714,-174.5579790140929,0.36,0.440274,0.4330879807472229,0.1648787878787878,0.7089212121212121,0.1261969696969697,1,,,,,,,
2022-12-20,16906.3046875,17012.984375,16427.8671875,16441.787109375,22722096615,47.56809617230313,-111.58529278518836,-88.44829454254335,17066.06630859375,17008.384338550284,17727.408479044643,16404.724138142854,408.6958705357143,-93.21815967470904,0.27,0.440096,0.4955879807472229,0.1552063636363636,0.6204090909090909,0.2243836363636363,0,,,,,,,
2022-12-21,16817.53515625,16916.80078125,16755.912109375,16904.52734375,14882945045,46.42646035684997,-114.48849232816428,-93.65633409966756,17058.58642578125,16990.208225950257,17727.974974671015,16389.197876891485,394.5580357142857,-72.45571345517004,0.0,0.440318,0.5036762177944183,0.06731875,0.7121794642857143,0.2204982142857142,1,,,,,,,
2022-12-22,16830.341796875,16866.673828125,16592.408203125,16818.380859375,16441573050,46.6254826634892,-114.43675434384932,-97.81241814850392,17045.6705078125,16974.98285175261,17722.542516579506,16368.7984990455,379.9246651785714,-84.17861117665707,0.0,0.439847,0.5227431535720826,0.1958008849557522,0.7037407079646018,0.1004601769911504,0,,,,,,,
2022-12-23,16796.953125,16905.21875,16794.458984375,16829.64453125,15329265213,46.14418144066866,-115.7555801257222,-101.40105054394758,17040.10634765625,16958.027639680935,17723.533106123832,16356.679589188663,374.9995814732143,-60.65749794533673,0.0,0.442193,0.5036762177944183,0.1509888888888889,0.7514269841269842,0.0975857142857142,1,,,,,,,
2022-12-24,16847.755859375,16864.703125,16793.52734375,16796.9765625,9744636213,47.03998817945137,-111.41705649897996,-103.40425173495406,17025.96982421875,16947.525565366082,17713.210834724523,16338.728813712978,373.2162388392857,-54.55746791581335,0.0,0.44231,0.5036762177944183,0.1471625,0.6354541666666667,0.2173708333333333,0,,,,,,,
2022-12-25,16841.986328125,16860.5546875,16755.25390625,16847.505859375,11656379938,46.94448794768778,-107.20846576293845,-104.16509454055094,17019.32783203125,16937.474209438362,17711.202160965295,16327.453503097204,369.7509765625,-53.69754977671259,0.0,0.441827,0.4955879807472229,0.0,0.899745,0.1002549999999999,1,,,,,,,
2022-12-26,16919.8046875,16920.123046875,16812.369140625,16842.25,11886957804,48.46423793290879,-96.4816555693069,-102.62840674630216,17010.84287109375,16935.79139782518,17703.255616437335,16318.430125750168,355.0784040178572,-34.16341487077323,0.0,0.44159,0.47997065782547,0.3350377777777777,0.5276377777777778,0.13732,0,,,,,,,
2022-12-27,16717.173828125,16959.845703125,16642.072265625,16919.291015625,15748580239,44.86080149943663,-103.1422385806327,-102.73117311316828,17004.29521484375,16914.970676901354,17705.606137388553,16302.984292298948,319.32491629464283,-59.6830089697744,0.0,0.44146,0.4955879807472229,0.1244642857142857,0.6457971428571428,0.22974,0,,,,,,,
2022-12-28,16552.572265625,16768.169921875,16497.556640625,16716.400390625,17005713920,42.12107047536525,-120.31584292191836,-106.24810707491832,16970.25009765625,16880.45654249408,17690.567984465168,16249.932210847332,297.29603794642856,-92.33916585191857,0.36,0.443324,0.4955879807472229,0.2635267441860465,0.5495639534883722,0.186903488372093,1,,,,,,,
2022-12-29,16642.341796875,16651.755859375,16508.68359375,16552.322265625,14472237479,44.12524803267874,-125.23872311327796,-110.04623028259024,16945.7095703125,16857.778947673218,17676.032755882872,16215.386384742133,270.07589285714283,-87.10152220810274,0.36,0.443563,0.5227431535720826,0.2018659340659341,0.6442318681318682,0.1538989010989011,0,,,,,,,
2022-12-30,16602.5859375,16643.427734375,16408.474609375,16641.330078125,15929162910,43.40836873042935,-130.83986619780626,-114.20495746563348,16919.40263671875,16833.474851466246,17659.802957431835,16179.002316005664,221.08510044642856,-93.36169459121032,0.36,0.442768,0.4955879807472229,0.3446810810810811,0.5182729729729729,0.1370432432432432,0,,,,,,,
2022-12-31,16547.49609375,16628.986328125,16517.51953125,16603.673828125,11239186456,42.38086414668837,-138.1318049683323,-118.99032696617324,16891.5677734375,16806.238779302796,17644.469009579916,16138.666537295085,215.72126116071428,-85.71376893296208,0.428571,0.445179,0.4955879807472229,0.34470625,0.5305375,0.12474375,1,,,,,,,
2023-01-02,16688.470703125,16759.34375,16572.228515625,16625.509765625,12097775227,46.0236670223592,-127.86785749539922,-123.5004487567045,16807.85751953125,16779.412725234262,17418.96578261395,16196.749256448556,199.24720982142856,-51.675524676732735,0.352941,0.4652,0.5267245054244996,0.1578714285714285,0.6905964285714286,0.1515321428571428,0,,,,,,,
2023-01-03,16679.857421875,16760.447265625,16622.37109375,16688.84765625,13903079207,45.8252390860706,-120.66244619198552,-122.93284824376072,16751.06787109375,16769.931267771477,17137.724114264114,16364.411627923384,167.31570870535714,-38.36746085362885,0.352941,0.477063,0.5078332185745239,0.1697024390243902,0.6165304878048781,0.2137634146341463,1,,,,,,,
2023-01-04,16863.23828125,16964.5859375,16667.763671875,16680.205078125,18421743322,50.69882805080868,-99.01343777116564,-118.1489661492417,16725.9865234375,16778.817650007528,16990.91670572235,16461.05634115265,177.02525111607142,67.94021268000166,0.352941,0.441554,0.5219091057777405,0.1387578947368421,0.6752252631578948,0.1860126315789473,0,,,,,,,
2023-01-05,16836.736328125,16884.021484375,16790.283203125,16863.47265625,13692758566,49.99879269671041,-83.03772159079745,-111.12671723755284,16735.44912109375,16784.333714590146,17002.08710705459,16468.811135132906,164.13044084821428,76.12669841023933,0.352941,0.438148,0.5219091057777405,0.1956101123595506,0.6409966292134831,0.1633955056179775,1,,,,,,,
2023-01-06,16951.96875,16991.994140625,16716.421875,16836.47265625,14413662913,53.03530504095448,-60.3825060681047,-100.97787500366324,16743.29296875,16800.29895605775,17026.06053403927,16460.52540346073,175.90276227678572,98.867378014873,0.352941,0.409266,0.5078332185745239,0.189268,0.7179573333333333,0.0927746666666666,1,,,,,,,
2023-01-07,16955.078125,16975.017578125,16914.19140625,16952.1171875,7714767174,53.11803892747977,-41.696532298836246,-89.12160646269784,16753.148046875,16815.03982929035,17051.38602994384,16454.910063806165,175.16350446428572,123.04488284193653,0.352941,0.395785,0.5078332185745239,0.0234705882352941,0.7928176470588235,0.1837235294117647,1,,,,,,,
2023-01-08,17091.14453125,17091.14453125,16924.05078125,16954.146484375,9768827914,56.71175983486405,-15.727049989025543,-74.44269516796338,16785.7212890625,16841.33551519127,17082.103648107455,16489.338930017548,179.57728794642858,163.65369939799888,0.363636,0.364794,0.4688858479261398,0.0004142857142857,0.8687714285714286,0.1308071428571428,1,,,,,,,
2023-01-09,17196.5546875,17389.95703125,17093.9921875,17093.9921875,18624736866,59.31373206445423,13.20742354417962,-56.912671425534775,16800.2337890625,16875.165912554006,17145.817463215426,16454.65011490957,193.2243303571429,226.5848722015816,0.541667,0.354315,0.5126486182212829,0.0856872093023255,0.5666930232558139,0.3476174418604651,1,,,,,,,
2023-01-10,17446.29296875,17484.720703125,17162.990234375,17192.94921875,15808338949,64.72379080816177,55.648513009859016,-34.40043453845601,16831.6716796875,16929.55896552505,17282.31091391227,16381.032445462732,193.50697544642856,239.3797494543563,0.5625,0.298934,0.5126486182212829,0.0887283185840707,0.6900230088495575,0.2212504424778761,1,,,,,,,
