date,proba_rfc_cal,proba_sgd_cal,y_true,month
2021-04-30,0.424242,0.571199,1,2021-04
2021-05-02,0.545455,0.521557,1,2021-05
2021-05-03,0.545455,0.505077,0,2021-05
2021-05-04,0.545455,0.512866,1,2021-05
2021-05-05,0.545455,0.475327,0,2021-05
2021-05-06,0.545455,0.477621,1,2021-05
2021-05-07,0.545455,0.469398,1,2021-05
2021-05-08,0.545455,0.464599,0,2021-05
2021-05-09,0.545455,0.471490,0,2021-05
2021-05-10,0.545455,0.484555,1,2021-05
2021-05-11,0.545455,0.487510,0,2021-05
2021-05-12,0.545455,0.522817,1,2021-05
2021-05-13,0.545455,0.511108,1,2021-05
2021-05-14,0.545455,0.537303,0,2021-05
2021-05-15,0.545455,0.554984,0,2021-05
2021-05-16,0.545455,0.554124,0,2021-05
2021-05-17,0.545455,0.573732,0,2021-05
2021-05-18,0.545455,0.596354,0,2021-05
2021-05-19,0.545455,0.601115,1,2021-05
2021-05-20,0.545455,0.591378,0,2021-05
2021-05-21,0.545455,0.608587,1,2021-05
2021-05-22,0.545455,0.617544,0,2021-05
2021-05-23,0.545455,0.616456,1,2021-05
2021-05-24,0.545455,0.594226,0,2021-05
2021-05-25,0.545455,0.587826,1,2021-05
2021-05-26,0.545455,0.583983,0,2021-05
2021-05-27,0.545455,0.581675,0,2021-05
2021-05-28,0.545455,0.574745,0,2021-05
2021-05-29,0.750000,0.571831,1,2021-05
2021-05-30,0.750000,0.561577,1,2021-05
2021-05-31,0.750000,0.523290,0,2021-05
2021-06-02,0.244565,0.506640,1,2021-06
2021-06-03,0.478261,0.515057,0,2021-06
2021-06-04,0.244565,0.536942,0,2021-06
2021-06-05,0.478261,0.539889,1,2021-06
2021-06-06,0.478261,0.559958,0,2021-06
2021-06-07,0.512195,0.571943,0,2021-06
2021-06-08,0.512195,0.559739,1,2021-06
2021-06-09,0.478261,0.538294,0,2021-06
2021-06-10,0.478261,0.555410,1,2021-06
2021-06-11,0.478261,0.564116,0,2021-06
2021-06-12,0.478261,0.574483,1,2021-06
2021-06-13,0.478261,0.553761,1,2021-06
2021-06-14,0.500000,0.557411,1,2021-06
2021-06-15,0.500000,0.558133,0,2021-06
2021-06-16,0.500000,0.567622,0,2021-06
2021-06-17,0.500000,0.567550,0,2021-06
2021-06-18,0.478261,0.577183,0,2021-06
2021-06-19,0.478261,0.582836,1,2021-06
2021-06-20,0.478261,0.573495,0,2021-06
2021-06-21,0.512195,0.575590,1,2021-06
2021-06-22,0.512195,0.559395,1,2021-06
2021-06-23,0.500000,0.573772,1,2021-06
2021-06-24,0.478261,0.580805,0,2021-06
2021-06-25,0.500000,0.580133,1,2021-06
2021-06-26,0.512195,0.576558,1,2021-06
